,Stock1,Stock2,Pvalue,Category
0,VNET,ZNGA,0.3224385693318633,0
1,TWOU,VNET,0.824306932332532,0
2,JOBS,TWOU,0.3449360426178185,0
3,EGHT,JOBS,0.18068413338729178,0
4,ACIA,EGHT,0.01026726717802774,0
5,ACIW,ACIA,0.47081672477692693,0
6,ACMR,ACIW,0.6612261382423009,0
7,ATVI,ACMR,0.1280351797728297,0
8,ADBE,ATVI,0.980441652541299,0
9,AMD,ADBE,0.335922515829892,0
10,API,AMD,1.0,-3
11,ALRM,API,1.0,-3
12,MDRX,ALRM,0.023354401363644344,0
13,GOOG,MDRX,0.9617950430452543,0
14,GOOGL,GOOG,0.038083820112745186,0
15,ALTR,GOOGL,0.14476612213449985,0
16,AMBA,ALTR,0.5208248630827578,0
17,DOX,AMBA,0.3787281588445942,0
18,AMKR,DOX,0.6122988546212846,0
19,ADI,AMKR,0.41580891081591653,0
20,ANSS,ADI,0.5869650305419439,0
21,APPF,ANSS,0.6432762584782645,0
22,APPN,APPF,0.5817679176737852,0
23,AAPL,APPN,0.30999068620440806,0
24,AMAT,AAPL,0.27655374579805125,0
25,ASML,AMAT,0.36466091605277334,0
26,AZPN,ASML,0.8731870138027631,0
27,TEAM,AZPN,0.8765523541981622,0
28,ADSK,TEAM,0.21314430447252547,0
29,ADP,ADSK,0.635693945773742,0
30,AVT,ADP,0.4728412547784919,0
31,BIDU,AVT,0.2935512098928509,0
32,BAND,BIDU,0.2663435701783252,0
33,BIGC,BAND,0.865467031713572,0
34,BILI,BIGC,0.6591677847695177,0
35,BLKB,BILI,0.6433547945885905,0
36,BL,BLKB,0.7649782954099846,0
37,EPAY,BL,0.33784626184785305,0
38,AVGO,EPAY,0.9860513022394606,0
39,BRKS,AVGO,0.9339708710587672,0
40,CCMP,BRKS,0.4746871914018584,0
41,CDNS,CCMP,0.5227778369471106,0
42,CSIQ,CDNS,0.9695620497598334,0
43,CDLX,CSIQ,0.7881717484260884,0
44,CARG,CDLX,0.7344143908049419,0
45,CRNC,CARG,0.9293342110410614,0
46,CERN,CRNC,0.5422142502090577,0
47,CHNG,CERN,0.9335594737478585,0
48,CHKP,CHNG,0.11573196722480361,0
49,CRUS,CHKP,0.00923989537970481,1
50,CSCO,CRUS,0.2923662896960779,0
51,CTXS,CSCO,0.4854370249587493,0
52,CTSH,CTXS,0.4123476999007023,0
53,COMM,CTSH,0.4378445535063883,0
54,CVLT,COMM,0.5747733524697191,0
55,CSOD,CVLT,0.2673662489974036,0
56,COUP,CSOD,0.7656844601729114,0
57,CREE,COUP,0.6738053590053721,0
58,CRWD,CREE,0.8578991530343062,0
59,CSGS,CRWD,0.690364695881215,0
60,CYBR,CSGS,0.08023241248577256,0
61,DADA,CYBR,0.3899553562719893,0
62,DDOG,DADA,0.6985820232529978,0
63,DIOD,DDOG,0.322281254786519,0
64,DOCU,DIOD,0.6607928533754526,0
65,DOMO,DOCU,0.9814672283473719,0
66,DOYU,DOMO,0.7275035980161606,0
67,DBX,DOYU,0.7554802910009943,0
68,DCT,DBX,0.186706274634865,0
69,SATS,DCT,0.2836014833679895,0
70,EA,SATS,0.38116566945051866,0
71,ENPH,EA,0.8199696844841371,0
72,PLUS,ENPH,0.22797703934336333,0
73,ERIC,PLUS,0.00406430529843107,1
74,EVBG,ERIC,0.7734354758463651,0
75,FFIV,EVBG,0.8515520569056201,0
76,FB,FFIV,0.8131979124431392,0
77,FEYE,FB,0.5625203031146179,0
78,FSLR,FEYE,0.9259803001458053,0
79,FISV,FSLR,0.0955752308487709,0
80,FIVN,FISV,0.4881158179373315,0
81,FLEX,FIVN,0.793452978947129,0
82,FORM,FLEX,0.7643210661340933,0
83,FORTY,FORM,1.0,-3
84,FTNT,FORTY,1.0,-3
85,GDS,FTNT,0.07283738865217128,0
